891234,1,65,2,58,3,45,4,60,5,50,12,48,42,42,46,60
783461,3,65,1,58,2,45,125,60,137,68,126,100,57,77,4,60
934232,218,50,2,70,3,67,1,66,5,55,57,75,137,80,125,62
865436,46,61,42,78,12,80,218,50,52,89,3,72,2,64,1,90
458967,27,40,2,44,81,53,1,60,13,67,3,51,57,39,565,57
923478,1,80,2,75,3,66,106,55,218,70,125,60,57,78,81,86
089435,3,40,1,38,2,55,125,50,137,64,126,30,57,67,4,40
034895,3,85,1,89,2,39,125,75,137,58,126,58,57,58,4,95
748585,2,56,1,58,3,69,4,58,126,49,218,59,57,60,4,89
890457,3,86,1,46,2,86,125,59,137,38,126,60,57,75,4,95
